"Question","A","B","C","D","Correct"
"Consider the demand for apples. Suppose that the price of apples falls to $4 per kg. What will happen to the demand for apples?","There will be a contraction in demand","There will be an expansion in demand","There will be an increase in demand","There will be a decrease in demand",""
"Consider the demand for lemonade. Suppose that the price of lemonade increased from $2 per can to $3 per can. What would happen to the demand for lemonade?","There will be a decrease in demand from cans to cans","There will be an increase in demand from cans to cans","There will be a contraction in demand from cans to cans","There will be an expansion in demand from cans to cans",""
"Consider the demand curve for cars. Suppose that due to strong economic growth there is an increase in income levels amongst the population. What would happen to the demand for cars?","There would be an increase in demand for cars","There would be a decrease in demand for cars","There would be an expansion in the demand for cars","There would be a contraction in the demand for cars",""
"Consider the demand for curve for iPads. Suppose Apple announces that the price of iPads will be reduced by 10% in one month’s time. What will happen to the demand for iPads today?","There will be an increase in demand for iPads","There will be a decrease in demand for iPads","There will be an expansion in demand for iPads","There will be a contraction in demand for iPads",""
"Consider the same demand curve for iPads. One month has passed and the price of iPads falls by 10%. What happens to the demand for iPads?","There will be an increase in demand for iPads","There will be a decrease in demand for iPads","There will be an expansion in demand for iPads","There will be a contraction in demand for iPads",""
"A recession causes rising unemployment and a 5% reduction in the average income of workers in an economy. How would this affect the demand for cinema tickets?","There will be a decrease in demand for cinema tickets by 5%","There will be an unknown decrease in demand for cinema tickets","There will be an increase in the demand for cinema tickets by 5%","There will be an unknown increase in demand for cinema tickets",""
"A viral marketing campaign on social media for a children’s toy makes it the ‘must have’ Christmas present. How will this affect demand for the toy?","There will be an increase in demand for the toy","There will be a decrease in demand for the toy","There will be an expansion in demand for the toy","There will be a contraction in demand for the toy",""
"Consider the data table below showing price changes for two substitute goods. Given the data, what is likely to happen to the demand for Good A in year 2?","There will be an increase in demand for Good A","There will be a decrease in demand for Good A","There will be an expansion in demand for Good A","There will be a contraction in demand for Good A",""
"Consider the same data table below showing price changes for two substitute goods. Given the data, what is likely to happen to the demand for Good B in year 2?","There will be an increase in demand for Good B","There will be a decrease in demand for Good B","There will be an expansion in demand for Good B","There will be a contraction in demand for Good B",""
"Consider the demand curves shown for Coca-Cola. What could explain the shift from D1 to D2?","There has been an increase in the price of Coca-Cola","There has been a decrease in the price of Coca-Cola","There has been an increase in the price of Pepsi","There has been a decrease in the price of Pepsi",""
